"entity","brand","updated_week_ending_date","forecast_channel","productline","producttype","productvariant","productform","shipment_sales","shipment_units","pos_sales","pos_units"
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Body Cream","Skin Repair","Original","Pump",1825.28,184,1055.73,59
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Foot Cream","Healthy Feet","Night Treatment","Tube",321.2,55,172.99,15
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Jar",4062.72,768,5142.42,502
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Tube",1930.85,365,3025.25,291
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Cream","Working Hands","Night Treatment","Tube",146,25,272.21,24
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Cream","Working Hands","Original","Jar",4071.24,548,6759.92,618
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Cream","Working Hands","Original","Tube",2089.91,431,5035.93,514
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Soap","Working Hands","Unscented","Pump",54.48,12,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","Cooling","Stick",1000.8,360,1825.7,319
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","Night Treatment","Jar",159.75,45,123.85,15
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","SPF","Stick",1661.4,468,1955.08,286
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","Unscented","Stick",700.56,252,1801.52,327
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Body Cream","Skin Repair","Eczema Relief","Tube",143.52,12,376.3,18
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Body Cream","Skin Repair","Original","Pump",-376.74,-42,789.45,24
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Cream","Healthy Feet","Intense Renewal","Tube",191.7,30,539.64,36
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Cream","Healthy Feet","Original","Jar",5361.92,944,9606.35,877
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Cream","Healthy Feet","Original","Tube",613.44,108,1831.99,123
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Mask","Healthy Feet","Sock","Pouch",123.2,40,598.2,60
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Cuticle Repair","Jar",80.1,15,181.86,14
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Night Treatment","Tube",207.6,30,1145.96,68
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Original","Jar",3337.2,440,4313.81,320
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Original","Tube",949.92,144,3375.15,266
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Lip Balm","Lip Repair","Cherry","Stick",53.46,18,48.99,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Lip Balm","Lip Repair","Cooling","Stick",1031.82,174,2399.77,205
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Multiple","Product","Combo","Mixed Pack",76.92,6,95.42,2
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Body Cream","Skin Repair","Original","Pump",15504,1824,11154.32,657
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Intense Renewal","Tube",37315.85,7345,11257.8,1294
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Night Treatment","Tube",13792.8,1104,3784.76,161
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Original","Jar",109496.4,9612,79430.1,6833
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Original","Tube",13772.05,1259,14911.34,1428
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Pain Relieving","Tube",403.65,39,595.98,42
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Combo","Tube",20392.96,896,2213.66,74
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Night Treatment","Tube",13930.08,624,20556.79,1028
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Original","Jar",79697.5,7052,44805.14,3138
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Original","Tube",11236.78,1153,25707.44,1627
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Cherry","Stick",2744.2,418,2666.69,355
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Combo","Stick",8245.44,1056,4651.48,381
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Cooling","Stick",13365.6,2352,15390.04,2035
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Cooling","Tube",430.92,158,833.4,68
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Night Treatment","Jar",2526.6,492,11163.35,1353
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","SPF","Stick",29129.28,3616,14371.06,830
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Unscented","Stick",2176.86,736,8302.1,531
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Unscented","Tube",433.68,156,519.8,20
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Multiple","Product","Combo","Mixed Pack",2260.44,234,12806.98,700
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Foot Cream","Healthy Feet","Original","Jar",1292.94,198,3632.97,303
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Foot Cream","Healthy Feet","Original","Tube",313.44,48,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Cuticle Repair","Jar",322.3,55,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Night Treatment","Tube",626.4,80,694.52,70
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Jar",1175.4,180,5250.55,415
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Tube",2532.96,312,1180.97,91
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Lip Balm","Lip Repair","Aloe","Stick",869.04,270,791.01,99
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Lip Balm","Lip Repair","Cooling","Stick",342.72,96,775.43,97
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Lip Balm","Lip Repair","Unscented","Stick",278.46,78,991.56,124
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"DOLLAR GENERAL","Foot Cream","Healthy Feet","Original","Jar",6507.6,1320,13576.35,1541
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"DOLLAR GENERAL","Lip Balm","Lip Repair","Cooling","Stick",5873.28,2208,11296.64,2415
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Hand Cream","Working Hands","Original","Jar",1177.2,216,924.73,93
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Hand Cream","Working Hands","Original","Tube",1046.4,192,793.5,80
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Lip Balm","Lip Repair","Unscented","Stick",494.52,156,465.65,67
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Body Cream","Skin Repair","Original","Tube",33.72,6,45.3,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Foot Cream","Healthy Feet","Night Treatment","Tube",26.3,5,39.25,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Foot Cream","Healthy Feet","Original","Tube",22.65,5,33.81,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Hand Cream","Working Hands","Original","Jar",223.04,32,327.83,4
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Hand Cream","Working Hands","Original","Tube",27.25,5,40.67,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Lip Balm","Lip Repair","Unscented","Stick",30.72,12,45.86,2
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Foot Cream","Healthy Feet","Night Treatment","Tube",2970.4,470,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Foot Cream","Healthy Feet","Original","Jar",1884.9,366,3387.54,381
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Foot Cream","Healthy Feet","Pain Relieving","Tube",430.92,42,956.47,56
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Hand Cream","Working Hands","Original","Jar",4820.4,936,9715.49,1051
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Hand Cream","Working Hands","Original","Tube",2884,560,10764.64,1161
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Lip Balm","Lip Repair","Unscented","Stick",1866.24,648,4179.92,831
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Body Cream","Skin Repair","Original","Pump",298.8,30,336.04,31
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Body Cream","Skin Repair","Original","Tube",436.92,66,559.3,70
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Intense Renewal","Tube",872.9,145,498.48,67
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Night Treatment","Tube",391.3,65,723.84,104
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Original","Jar",2631.12,456,3247.94,502
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Original","Tube",255,50,472.31,73
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Hand Cream","Working Hands","Night Treatment","Tube",602,100,501.12,72
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Hand Cream","Working Hands","Original","Jar",1107.84,192,2782.1,430
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Hand Cream","Working Hands","Original","Tube",1045.2,150,1574.62,170
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Lip Balm","Lip Repair","Cherry","Stick",892.32,208,NA,233
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Night Treatment","Tube",361.2,60,236,29
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Original","Jar",11837.16,2358,18020,2268
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Original","Tube",30145.1,6005,35141,4544
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Pain Relieving","Tube",29.31,3,54,4
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Mask","Healthy Feet","Sock","Pouch",163.2,48,266,52
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Hand Cream","Working Hands","Night Treatment","Tube",1444.8,240,1989,219
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Hand Cream","Working Hands","Original","Jar",7651.92,1452,14945,1867
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Hand Cream","Working Hands","Original","Tube",29065,5670,40216,4532
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Lip Balm","Lip Repair","Cherry","Stick",3044.52,462,2513,267
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALGREENS","Foot Cream","Healthy Feet","Original","Jar",12395.04,2352,5218,525
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALGREENS","Hand Cream","Working Hands","Night Treatment","Tube",3261.12,516,4011,490
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALGREENS","Hand Cream","Working Hands","Original","Jar",3162,600,6730,959
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALGREENS","Hand Cream","Working Hands","Original","Tube",5400.1,930,8398,962
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALGREENS","Hand Cream","Working Hands","Pain Relieving","Tube",317.12,32,765,44
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALGREENS","Lip Balm","Lip Repair","Cooling","Stick",2350.08,816,7945,1484
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Foot Cream","Healthy Feet","Original","Jar",3004.51,468,6022.36,471
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Foot Cream","Healthy Feet","Original","Tube",1001.5,156,2393.64,182
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Foot Mask","Healthy Feet","Sock","Pouch",1077.66,248,1859.48,189
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Hand Cream","Working Hands","Night Treatment","Tube",3271.39,545,2998.71,215
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Hand Cream","Working Hands","Original","Jar",13285.05,1950,10250.27,778
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Hand Cream","Working Hands","Original","Tube",16184.46,3466,11127.94,1029
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Lip Balm","Lip Repair","Aloe","Stick",1523.78,492,1639.99,235
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Lip Balm","Lip Repair","Cherry","Stick",1189.14,384,949.28,136
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART CA","Lip Balm","Lip Repair","Cooling","Stick",3009.69,972,3102.57,404
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Body Cream","Skin Repair","Original","Pump",5034.4,560,15620,1046
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Foot Cream","Healthy Feet","Night Treatment","Tube",17443.2,3160,26726.44,2995
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Foot Cream","Healthy Feet","Original","Jar",60899.04,13302,94751.94,11956
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Foot Cream","Healthy Feet","Original","Tube",24076.8,5280,39355.2,4935
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Foot Cream","Healthy Feet","Pain Relieving","Tube",4841.43,561,4748.2,344
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Hand Cream","Working Hands","Night Treatment","Tube",17691.6,3205,25232.63,2810
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Hand Cream","Working Hands","Original","Jar",43838.88,7226,74300.12,7420
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Hand Cream","Working Hands","Original","Tube",46929.04,8049,79035.65,7829
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Lip Balm","Lip Repair","Cherry","Stick",6804.56,1624,9190.06,1423
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"WALMART US","Lip Balm","Lip Repair","Cooling","Stick",22927.68,5472,34290.68,5279
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Body Cream","Skin Repair","Original","Pump",317.44,32,916.61,50
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Foot Cream","Healthy Feet","Night Treatment","Tube",554.8,95,98.9,9
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Jar",4919.7,930,5048.88,496
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Tube",2036.65,385,3100.92,301
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Hand Cream","Working Hands","Night Treatment","Tube",116.8,20,116.46,11
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Hand Cream","Working Hands","Original","Jar",7264.5,1282,6508.4,603
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Hand Cream","Working Hands","Original","Tube",3094.65,585,4916.41,505
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Hand Soap","Working Hands","Unscented","Pump",72.64,16,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Lip Balm","Lip Repair","Cooling","Stick",900.72,324,1779.59,316
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Lip Balm","Lip Repair","Night Treatment","Jar",142,40,80.9,10
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Lip Balm","Lip Repair","SPF","Stick",1661.4,468,1623.91,238
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"ACE HARDWARE","Lip Balm","Lip Repair","Unscented","Stick",2101.68,756,1966.27,357
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Body Cream","Skin Repair","Eczema Relief","Tube",191.36,16,664.43,32
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Body Cream","Skin Repair","Original","Tube",80.04,12,168.66,6
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Foot Cream","Healthy Feet","Intense Renewal","Tube",-63.9,-10,704.53,47
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Foot Cream","Healthy Feet","Night Treatment","Tube",1591.6,230,515.78,32
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Foot Cream","Healthy Feet","Original","Jar",5271.04,928,8795.45,806
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Foot Cream","Healthy Feet","Original","Tube",681.6,120,1837.55,128
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Foot Mask","Healthy Feet","Sock","Pouch",221.76,72,448.65,45
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Hand Cream","Working Hands","Cuticle Repair","Jar",26.7,5,168.87,13
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Hand Cream","Working Hands","Night Treatment","Tube",-568.32,-48,1237.52,72
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Hand Cream","Working Hands","Original","Jar",2590.8,344,3520.31,253
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Hand Cream","Working Hands","Original","Tube",1087.2,156,3175.44,251
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Lip Balm","Lip Repair","Aloe","Stick",124.74,42,399,54
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Lip Balm","Lip Repair","Cherry","Stick",53.46,18,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON CA","Lip Balm","Lip Repair","Unscented","Stick",0,0,239.7,30
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Body Cream","Skin Repair","Original","Pump",10880,1280,11048.88,597
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Foot Cream","Healthy Feet","Intense Renewal","Tube",9296.4,1830,10772.66,1236
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Foot Cream","Healthy Feet","Night Treatment","Tube",4304.64,384,5773.71,267
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Foot Cream","Healthy Feet","Original","Jar",124364.88,20436,72028.4,6141
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Foot Cream","Healthy Feet","Original","Tube",46605.06,7902,16642.8,1662
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Foot Cream","Healthy Feet","Pain Relieving","Tube",589.95,57,439.89,31
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Foot Mask","Healthy Feet","Sock","Pouch",8947.2,768,2158.33,192
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Hand Cream","Working Hands","Night Treatment","Tube",13392,576,19283.42,960
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Hand Cream","Working Hands","Original","Jar",120527.94,19754,41866.74,3022
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Hand Cream","Working Hands","Original","Tube",26042.55,2703,24470.89,1612
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Cherry","Stick",1307.68,244,2385.36,316
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Combo","Stick",364.32,48,4291.76,358
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Cooling","Stick",23051.52,4752,14797.78,1987
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Cooling","Tube",429.84,156,608.37,50
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Night Treatment","Jar",2526.6,492,10002.98,1189
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","SPF","Stick",6176.88,1080,12555.05,800
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Unscented","Stick",20607.48,5186,8732.35,567
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Lip Balm","Lip Repair","Unscented","Tube",637.26,228,389.85,15
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"AMAZON US","Multiple","Product","Combo","Mixed Pack",9903,950,9716.08,473
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Jar",9150,1830,5618.94,440
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"CANADIAN TIRE","Lip Balm","Lip Repair","Aloe","Stick",411.84,156,807.79,101
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"CANADIAN TIRE","Lip Balm","Lip Repair","Cooling","Stick",665.28,252,879.3,110
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"DOLLAR GENERAL","Foot Cream","Healthy Feet","Original","Jar",7690.8,1560,13144.59,1458
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"DOLLAR GENERAL","Hand Cream","Working Hands","Original","Tube",10279.05,2085,8276.09,1048
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"DOLLAR GENERAL","Lip Balm","Lip Repair","Cooling","Stick",9703.68,3648,10257.33,2193
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"HOME DEPOT US","Foot Cream","Healthy Feet","Original","Jar",26.64,6,42.97,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"HOME DEPOT US","Hand Cream","Working Hands","Original","Jar",86.6,14,260.93,4
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"HOME DEPOT US","Lip Balm","Lip Repair","Cooling","Stick",15.36,6,22.93,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"HOME DEPOT US","Lip Balm","Lip Repair","Unscented","Stick",30.72,12,22.93,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"KROGER","Foot Cream","Healthy Feet","Night Treatment","Tube",4866.4,770,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"KROGER","Foot Cream","Healthy Feet","Original","Jar",4047.9,786,3032.94,332
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"KROGER","Foot Cream","Healthy Feet","Pain Relieving","Tube",430.92,42,1184.55,69
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"KROGER","Hand Cream","Working Hands","Original","Jar",5036.7,978,7586.12,821
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"KROGER","Hand Cream","Working Hands","Original","Tube",5021.25,975,9241.6,998
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"KROGER","Lip Balm","Lip Repair","Unscented","Stick",3628.8,1260,3802.39,756
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Body Cream","Skin Repair","Original","Pump",358.56,36,336.04,31
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Body Cream","Skin Repair","Original","Tube",238.32,36,519.35,65
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Foot Cream","Healthy Feet","Intense Renewal","Tube",301,50,617.52,83
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Foot Cream","Healthy Feet","Night Treatment","Tube",842.8,140,570.72,82
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Foot Cream","Healthy Feet","Original","Jar",2250.3,390,3435.57,531
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Foot Cream","Healthy Feet","Original","Tube",408,80,485.25,75
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Hand Cream","Working Hands","Night Treatment","Tube",511.7,85,459.36,66
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Hand Cream","Working Hands","Original","Jar",1038.6,180,2555.65,395
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Hand Cream","Working Hands","Original","Tube",672.96,88,1318.26,150
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"MENARDS","Lip Balm","Lip Repair","Cherry","Stick",755.04,176,NA,205
"The Gorilla Glue Company LLC","OKeeffes",2024-06-30,"TARGET","Foot Cream","Healthy Feet","Night Treatment","Tube",210.7,35,430,50
