"entity","brand","updated_week_ending_date","forecast_channel","productline","producttype","productvariant","productform","shipment_sales","shipment_units","pos_sales","pos_units"
"The Gorilla Glue Company LLC","OKeeffes",2024-07-14,"CANADIAN TIRE","Hand Soap","Working Hands","Unscented","Pump",NA,NA,264.01,31
"The Gorilla Glue Company LLC","OKeeffes",2024-09-01,"CANADIAN TIRE","Lip Balm","Lip Repair","Combo","Mixed Pack",NA,NA,NA,0
"The Gorilla Glue Company LLC","OKeeffes",2024-09-08,"CANADIAN TIRE","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,872.51,109
"The Gorilla Glue Company LLC","OKeeffes",2024-08-11,"CANADIAN TIRE","Hand Soap","Working Hands","Unscented","Pump",NA,NA,764.28,126
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"WALGREENS","Body Cream","Skin Repair","Original","Pump",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-11-24,"WALGREENS","Foot Cream","Healthy Feet","Original","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-10-06,"WALGREENS","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-01-05,"WALGREENS","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,2,2
"The Gorilla Glue Company LLC","OKeeffes",2024-10-27,"WALGREENS","Hand Cream","Working Hands","Cuticle Repair","Jar",NA,NA,15,4
"The Gorilla Glue Company LLC","OKeeffes",2024-11-03,"WALGREENS","Hand Cream","Working Hands","Cuticle Repair","Jar",NA,NA,1,1
"The Gorilla Glue Company LLC","OKeeffes",2025-02-16,"WALGREENS","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-02-02,"WALGREENS","Body Cream","Skin Repair","Original","Pump",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-09-22,"TARGET","Multiple","Product","Combo","Mixed Pack",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-09-08,"TARGET","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-10-20,"TARGET","Multiple","Product","Combo","Mixed Pack",NA,NA,0,0
